nom_pays;gentile
Afghanistan ;Afghan, Afghane
Afrique du Sud ;Sudafricain, Sudafricaine, Sud-Africain, Sud-Africaine
Albanie ;Albanais, Albanaise
Algérie ;Algérien, Algérienne
Allemagne ;Allemand, Allemande
Andorre ;Andorran, Andorranne
Angleterre ;Anglais, Anglaise
Angola ;Angolais, Angolaise
Antigua-et-Barbuda ;Antiguayen, Antiguayenne
Arabie saoudite ;Saoudien, Saoudienne
Argentine ;Argentin, Argentine
Arménie ;Arménien, Arménienne
Australie ;Australien, Australienne
Autriche ;Autrichien, Autrichienne
Azerbaïdjan ;Azerbaïdjanais, Azerbaïdjanaise
les Bahamas (m. pl.);Bahaméen, Bahaméenne
le Bahreïn;Bahreïnien, Bahreïnienne
le Bangladesh;Bangladais, Bangladaise
Barbade;Barbadien, Barbadienne
Belgique;Belge
le Belize;Bélizien, Bélizienne
le Bénin;Béninois, Béninoise
le Bhoutan;Bhoutanais, Bhoutanaise
Biélorussie;Biélorusse
Birmanie oder Myanmar;Birman, Birmane
Bolivie;Bolivien, Bolivienne
Bosnie-Herzégovine;Bosnien, Bosnienne
le Botswana;Botswanais, Botswanaise
le Brésil;Brésilien, Brésilienne
le Brunei;Brunéien, Brunéienne
Bulgarie;Bulgare
le Burkina Faso;Burkinabé, Burkinabée, Burkinais, Burkinaise
le Burundi;Burundais, Burundaise
le Cambodge;Cambodgien, Cambodgienne
le Cameroun;Camerounais, Camerounaise
le Canada;Canadien, Canadienne
le Cap-Vert;Cap-Verdien, Cap-Verdienne
le Chili;Chilien, Chilienne
Chine;Chinois, Chinoise
Chypre ;Chypriotes ou Cypriotes
Colombie;Colombien, Colombienne
les Comores (f. pl.);Comorien, Comorienne
le Congo;Congolais, Congolaise
Corée du Nord;Nord-Coréen, Nord-Coréenne
Corée du Sud;Sud-Coréen, Sud-Coréenne
le Costa Rica;Costaricien, Costaricienne
Côte d’Ivoire;Ivoirien, Ivoirienne
Croatie;Croate
Cuba;Cubain, Cubaine
le Danemark;Danois, Danoise
Djibouti ;Djiboutien, Djiboutienne
Dominique;Dominiquais, Dominiquaise
Écosse ;Écossais, Écossaise
Égypte ;Égyptien, Égyptienne
les Émirats arabes unis (m. pl.);Émirien, Émirienne, Émirati
Équateur ;Équatorien, Équatorienne
Érythrée ;Érythréen, Érythréenne
Espagne ;Espagnol, Espagnole
Estonie ;Estonien, Estonienne
les États-Unis (m. pl.);Américain, Américaine
Éthiopie ;Éthiopien, Éthiopienne
Finlande;Finlandais, Finlandaise
France;Français, Française
le Gabon;Gabonais, Gabonaise
Gambie;Gambien, Gambienne
Géorgie;Géorgien, Géorgienne
le Ghana;Ghanéen, Ghanéenne
Grenade;Grenadin, Grenadine, Grenadien, Grenadienne
le Groenland;Groenlandais, Groenlandaise
Grèce;Grec, Grecque
le Guatemala;Guatémaltèque
Guinée;Guinéen, Guinéenne
Guinée équatoriale;Équatoguinéen, Équatoguinéenne
Guinée-Bissau;Bissau-Guinéen, Bissau-Guinéenne
Guyane;Guyanais, Guyanaise
Haïti ;Haïtien, Haïtienne
le Honduras;Hondurien, Hondurienne
Hong Kong ;Hongkongais, Hongkongaise
Hongrie;Hongrois, Hongroise
Île Maurice;Mauricien, Mauricienne
les Îles Féroé (f. pl.);Féringien, Féringienne
les Îles Fidji (f. pl.);Fidjien, Fidjienne
